box,ahu,n,k_fixed,a,g,delta,c,r2_two_node,g_unconstrained,a_unconstrained,a_one_node,g_one_node,r2_one_node,flow_cv,parked
vav_8_1_19,1,1527,0.2605767039506491,0.00013576406158983352,0.009656494520254575,-0.04737619553488011,-0.9973492246525824,0.12645304668121615,0.009656494520254522,0.0001357640615898346,7.986206061710108e-05,0.0,0.07028251259175178,0.3300156999759783,False
vav_8_1_2,1,1527,0.25253400325025516,0.00025381512396754804,0.0,-0.00967148234058453,-0.042728871959153376,0.48687102605912347,-0.006116066279841504,0.0002584088209070786,4.3490433715622606e-05,0.00048947859829834,0.07671414276821353,0.011575794252932108,True
vav_8_1_20,1,1527,0.23573385488450108,0.0,0.009629242419280468,-0.14563640747556403,-1.0087887730455078,0.05270000605998082,0.005783479172084889,-2.8055678438810842e-05,3.3783101281112754e-05,0.0014628594001401367,0.09495585182947874,0.43720650957277163,False
vav_8_1_21,1,1527,0.22813735057138418,4.2092340186747976e-05,0.004758644637092891,-0.0228818799220712,-0.7468858183176824,0.03772331038082155,0.004758644637092864,4.2092340186747806e-05,3.5401071292215263e-05,0.0010255723782068742,0.03130084057127003,0.22781937179766776,False
vav_8_1_22,1,1527,0.21275514910607152,0.0001013874931960552,0.004306435767749967,-0.04237072389493872,-0.5162438137110886,0.08816679091251145,0.004306435767750033,0.00010138749319605829,6.050336892680993e-05,0.0009873024452970774,0.06180796517308507,0.20009763862880905,False
vav_8_1_25,1,1527,0.2591817357135748,0.00028133446636663785,0.0,0.07403121554572023,-0.21268740483145804,0.396196385121633,-0.004208819808715613,0.0002830995627418074,2.921994144906899e-05,0.0,0.014516969050701767,0.03742276382331998,False
vav_8_1_26,1,1527,0.2295893759489073,0.00025646427799253007,0.001110320996459018,-0.002165573898217121,-0.5137920964588713,0.21586423507126795,0.001110320996459805,0.00025646427799263334,4.007999971339252e-05,0.0025454135841443196,0.026354177047683836,0.6545496041941937,False
vav_8_1_27,1,1527,0.13430495017176747,5.149215334894764e-05,0.0,0.039708325368805523,-0.1062468676171107,0.3069115123674472,-0.00635856390959582,6.197538628902228e-05,1.9706299895290534e-05,0.0,0.1345031364274637,0.1482821590686929,False
vav_8_1_28,1,1527,0.15610768905922406,0.00018071514300920582,0.002312434848825723,0.09459634025162339,-0.5627180041117366,0.0855472485725719,0.0023124348488257015,0.000180715143009205,0.00018566303203835062,0.013698409475206539,0.21394636458333982,0.0621795519680162,False
vav_8_1_3,1,1527,0.22778229991123655,0.00047525032618715653,0.0,-0.026703884744707553,-0.19815972293904943,0.4274429298620567,-0.009072344806426044,0.0004985856238968822,8.619009735419525e-05,0.0006623939569061646,0.058446302167444064,0.037605230942463895,True
vav_8_1_4,1,1527,0.28270106228345704,0.00026205758331217764,0.0,-0.12953088229889576,-0.15686832749324078,0.15357199960877987,-0.014014303079133816,0.00028046951092280524,2.2456760495142683e-05,0.0,0.010334337648254532,0.021919940115113334,True
vav_8_1_5,1,1527,0.26817373081899604,0.0001632356921680378,0.0,-0.07155214680023876,-0.1098241607801051,0.44254977756854186,-0.005016492912195511,0.0001645759604040179,2.154574676734083e-05,0.0,0.02844393900014297,0.006315442579436283,True
vav_8_1_7,1,1527,0.3576044471538288,0.00023193220175687885,0.0,-0.08328775702294373,-0.13383194261980433,0.44303446098417665,-0.009686394998279032,0.00023665101922526412,3.957495731114438e-05,0.0,0.0745683978610292,0.04042337167524053,False
vav_8_1_8,1,1527,0.1946625200630041,0.00034881796250540726,0.0,0.046205693908077,-0.15076750725924293,0.32957713763053476,-0.0015853126379317775,0.0003502851067740288,5.314506630380217e-05,0.0,0.014933824116267536,0.02527619398055677,False
vav_8_2_1,2,1511,0.27563206896739195,2.481049159354788e-05,0.0,-0.13900898463856287,-0.4658493037584272,0.014436496101985052,-0.00931678548763749,4.47170485046854e-05,1.2491291957826025e-05,0.0,0.01835550758349669,0.1574056653344494,False
vav_8_2_10,2,1511,0.23130130266914736,0.0,0.0,-0.040565539029455366,-0.38190313443407004,0.0005295793065299703,-0.009223740484056178,-2.612405064538323e-05,2.9621699642970176e-05,0.0,0.060209383600633104,0.39630575032515547,False
vav_8_2_11,2,1511,0.28174559834378166,0.000288709239108814,0.0,0.018237256819766814,-0.35481067725921844,0.20811875280976322,-0.004034372634321471,0.0002994340809810787,0.00014843406160661095,0.0,0.15572778418665045,0.13324643352636126,False
vav_8_2_12,2,1511,0.23939854483519402,0.0003099026374832167,0.0,0.06411276367698247,-0.2791637825570679,0.20348458729245233,-0.0011070784014509125,0.0003124311225150646,0.00012604080098480033,0.0,0.08852675095216589,0.04317318440619469,False
vav_8_2_13,2,1511,0.23449833563623831,0.00027054998777339273,0.0,0.03283046334811167,-0.26208654365181316,0.2600688842770136,-0.0015711667246856502,0.00027455666740619565,0.00015832765051791256,0.0,0.2027513776947577,0.13007020140439066,False
vav_8_2_14,2,1511,0.21371729969651773,2.3847641880958396e-05,0.0,-0.05379614844384996,-0.36015516953899895,0.018234725711055222,-0.004019879751132448,2.7526508305088975e-05,2.8947729638375668e-05,0.0,0.07846778016102751,0.34240119574473926,False
vav_8_2_15,2,1469,0.22572151672855326,0.0003218650967867935,0.0,-0.39445628742727423,0.18231704511295363,0.019588798379985506,-0.015121944155282799,0.00036788365379942524,0.0007564133264820235,0.016042638419205675,0.10375751506303166,0.1088941514365099,False
vav_8_2_16,2,1511,0.21870110263553255,0.0,0.0,-0.15452138466994186,-0.2739362544007099,0.007045331452367631,-0.014838717082334155,-2.596986127420126e-05,1.5961965520833395e-05,0.0,0.03325465536726424,0.2921986352463285,False
vav_8_2_17,2,1511,0.22200470320754484,0.0,0.0,-0.09635943925943394,-0.37172385647907535,0.004164791716887772,-0.003740732196019691,-4.291980199357902e-06,2.8728125130907125e-05,0.0,0.05727329896347233,0.39300795805672184,False
vav_8_2_18,2,1408,0.19585393236835008,1.2361759206107362e-05,0.0,-0.08534566478620527,-0.20639047108527964,0.008618650431083008,-0.0066317698872583215,1.3493196561891114e-05,2.4427020057392262e-05,0.0,0.0511986389799467,0.21216029092271543,False
vav_8_2_19,2,1511,0.2176333255462038,0.0,0.0,-0.23444041868710153,-0.17034638247309522,0.009822539379066297,-0.01963929128507724,-5.221613183047311e-05,0.0,0.0,0.004540017344313307,0.04277338839877058,True
vav_8_2_2,2,1511,0.2665062118264544,0.0,0.0,-0.14756119912552607,-0.5025253257670814,0.005382176412204731,-0.011185242142551118,-3.829475061331045e-05,1.2609113322361793e-05,0.0,0.016469721693332495,0.27620516086779084,False
vav_8_2_20,2,1511,0.19022517527720337,0.0,0.0,-0.20902682140236692,-0.11013657003101318,0.009801839579704152,-0.01835064407145354,-8.89375389286219e-07,0.0,0.0,0.0025931120534834484,0.015905924341247546,True
vav_8_2_21,2,1511,0.22635794049747984,0.001670221196588684,0.034365368068607016,-0.1265459112035288,-0.9766619592127184,0.2413143781513657,0.034365368068606926,0.0016702211965886847,0.002241577216075795,0.05674378138576253,0.3604714230234837,0.026199547154132023,True
vav_8_2_22,2,1511,0.18624564956601022,0.0002359791906456082,0.0,-0.18028735532773496,0.1033931047424099,0.06974382560869408,-0.002684598979430324,0.0002369106015334013,0.00010255071912113986,0.0,0.019964663835282392,0.012821848663904994,True
vav_8_2_23,2,1511,0.14085756430266066,0.0003840734830477933,0.0,0.06327356282475464,-0.1544489739971995,0.3467669433493714,-0.005205008848197915,0.0004086836335721909,0.000173310199236979,9.040381950982801e-05,0.14292130078823884,0.10994737870463528,False
vav_8_2_25,2,1511,0.20061481453028285,7.914309305617678e-05,0.0,0.023957803520650186,-0.33823115809966803,0.05041408027665295,-0.003427929622043826,8.566306045734528e-05,6.631657985459913e-05,0.0,0.07755269812233556,0.28727964522397864,False
vav_8_2_26,2,1511,0.21699837403511898,0.000412319591207167,0.0,0.00104795452957072,-0.11095328139046202,0.2504430806218434,-0.0017280598399880061,0.00041433275312930827,8.609341360243498e-05,0.0,0.023928169417649303,0.07395067769826294,False
vav_8_2_27,2,1511,0.20095098257578425,0.00015554574353618603,0.00016363600111014853,0.0017738279816164034,-0.49967910539898763,0.10128951870382819,0.00016363600111005561,0.0001555457435361869,0.00018408742669003182,0.006627810717980942,0.2620733309433664,0.2987901589816394,False
vav_8_2_28,2,1511,0.10874074063185393,0.00042076883960146753,0.0016026267872880236,-0.04367542278609441,-0.32247279021053826,0.05484663559353564,0.0016026267872880137,0.0004207688396014663,0.0005681127162813569,0.008207160893280996,0.3786705618726648,0.9738180900001829,False
vav_8_2_3,2,1511,0.21345269702469283,0.0,0.0,-0.07884382181926722,-0.2795008805377752,0.002951144588361765,-0.009000437980597402,-2.490579805899594e-05,1.5457640912786152e-05,0.0,0.04650735661028571,0.3348237725562445,False
vav_8_2_4,2,1511,0.26263861825578666,0.00010540245704046128,0.0,-0.09790552970327371,-0.3220723726336657,0.0928836378902339,-0.003496872450688946,0.00011378916991635717,8.742156378340195e-05,0.0,0.1512334365705369,0.32963754080397917,False
vav_8_2_5,2,1511,0.22573970856405498,0.0002246669935638318,0.0,-0.028460179692091428,-0.19926794785653038,0.2646831027935703,-0.0029075739768827822,0.00023216138173325445,0.00014386394380660474,0.0,0.25024947912983986,0.21124430791831775,False
vav_8_2_6,2,1511,0.2362177822749368,0.00034223007559615825,0.0,-0.057578735972095146,-0.12093265664733027,0.2865147930738934,-0.0025889563448603776,0.0003474675097247512,0.00011701037044463076,0.0,0.07455928940285683,0.06352237383993686,False
vav_8_2_7,2,1511,0.2582103810825836,0.0,0.0,-0.11628944607001582,-0.5386650848712445,0.004466154199263661,-0.0006654326290283178,-5.233306647827048e-06,3.0841429176896135e-05,0.0,0.06642784304026572,0.6272778645256802,False
vav_8_2_8,2,1511,0.22517481874399148,0.0002471828557937815,0.0,0.006793643466704377,-0.17937516472577922,0.32893107734655136,-0.0024599986455848158,0.00025163872704849724,5.741847790782719e-05,0.00025365695288988565,0.047447520508647645,0.026941836899437046,False
vav_8_2_9,2,1511,0.14441039706628206,0.0002922683240558669,0.0,0.049426464191637834,-0.05216146619676977,0.14591838738549168,-0.001814897138536214,0.0002956819793905687,0.00010263916776329337,0.0,0.027748750995536198,0.03595593576734761,False
