ahu,at,hour,direction,d_sat_sp_k,d_t_sa_k,ratio,n_control,n_treated,startup
1,2026-07-10 11:30:00,11,down,-1.012674999999998,-1.2166124999999965,1.201384945811834,8,8,False
1,2026-07-10 12:00:00,12,down,-0.8351749999999996,-1.082699999999999,1.296375011225192,8,8,False
1,2026-07-10 15:00:00,15,up,0.7899999999999991,0.7000000000000028,0.8860759493670931,8,8,False
1,2026-07-10 16:00:00,16,up,0.7200000000000024,0.7854124999999961,1.0908506944444354,8,6,False
1,2026-07-13 09:00:00,9,up,1.120000000000001,1.1417499999999983,1.0194196428571405,8,8,False
1,2026-07-14 09:00:00,9,up,1.1700000000000017,1.3452839285714333,1.149815323565326,7,8,False
1,2026-07-15 09:00:00,9,up,1.0100000000000016,1.0563785714285707,1.0459193776520486,7,8,False
1,2026-07-16 14:00:00,14,down,-0.264999999999997,-0.2688374999999965,1.0144811320754699,8,8,False
1,2026-07-20 09:00:00,9,up,0.9499999999999993,2.1764874999999986,2.2910394736842106,8,8,False
1,2026-07-21 09:00:00,9,up,1.0009571428571462,2.2737946428571423,2.2716203776385377,7,8,False
1,2026-07-22 09:00:00,9,up,0.9263857142857148,1.7696660714285706,1.9102907613305145,7,8,False
1,2026-07-22 10:00:00,10,up,0.45000000000000284,1.4555000000000007,3.2344444444444256,8,8,False
1,2026-07-22 10:15:00,10,up,0.36250000000000426,1.375675000000001,3.7949655172413377,8,8,False
1,2026-07-23 13:00:00,13,down,-0.6620000000000026,-0.4486750000000015,0.6777567975830812,8,8,False
