policy,date,day_index,t,hour,scored,T_oa,T_wb,occ,fan_kwh,coil_kwh_th,elec_cop3_kwh,elec_cop4_kwh,elec_cop5_kwh,P_fan_kw,P_fan_ahu1,P_fan_ahu2,air_m3h,T_zone_mean,T_zone_p95,T_zone_max,T_sp_mean,comfort_excess_sum_k,comfort_excess_max_k,n_zones_over,track_dev_sum_k,track_abs_mean_k,track_signed_mean_k,track_rmse_k,n_too_cold,n_too_warm,n_in_band,cost_comfort,cost_comfort_one_sided,cost_comfort_two_sided,cost_vent,T_sa_ahu1,T_sa_ahu2
sac_b100,2026-08-04,67,2,0.5,False,29.11111111111111,25.32222222222222,0.049999925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.3455352458417,25.357168272423575,28.013955640795828,24.05849056603774,39.49757003945086,4.894121704898804,36,63.40618520969592,1.5540069570055521,0.287044679803963,1.8215658187299923,14,33,6,0.0,0.0,0.0,0.0,18.8282757141422,18.411656598491515
sac_b100,2026-08-04,67,3,0.75,False,29.11111111111111,25.32222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.17806521279262,25.30113837666792,27.689285721755827,21.95974528301887,117.74873953470956,7.580655640795829,41,126.21237907512116,2.7549534593356264,2.2183199297737564,3.1560818917143063,9,42,2,0.0,0.0,0.0,0.0,17.18033979063488,17.844773483148114
sac_b100,2026-08-04,67,4,1.0,False,29.11111111111111,25.32222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.04860413037394,25.256138208375887,27.416050051519356,24.05849056603774,26.086507283783593,4.189285721755827,32,53.808823506272475,1.4436030325786775,-0.009886435663802633,1.7794672605972892,16,30,7,0.0,0.0,0.0,0.0,14.279173563164417,18.609419721670328
sac_b100,2026-08-04,67,5,1.25,False,29.11111111111111,25.32222222222222,0.026785724999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.947060557296936,25.21846133732217,27.188634241573833,23.971700000000006,26.64707018634509,4.045697686724068,30,56.18894750192945,1.5048671810424228,-0.024639442703060208,1.9035967073472082,17,27,9,0.0,0.0,0.0,0.0,15.126716398043298,15.967232539692528
sac_b100,2026-08-04,67,6,1.5,False,29.11111111111111,25.32222222222222,0.049999925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.86712662744399,25.186851500018566,26.9994416507804,23.54352830188679,36.56506555564063,5.221934241573834,31,61.41241498863824,1.6040088752916661,0.3235983255571976,1.9450195550046652,15,29,9,0.0,0.0,0.0,0.0,18.504190947642655,13.597195244259343
sac_b100,2026-08-04,67,7,1.75,False,29.11111111111111,25.32222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.807106984088872,25.164845097134876,26.835491163745093,24.05849056603774,17.210717256067092,3.499441650780401,23,49.514957148296865,1.3825494423322056,-0.25138358194886606,1.7865055971590407,20,22,11,0.0,0.0,0.0,0.0,13.626077215417407,14.320634834841307
sac_b100,2026-08-04,67,8,2.0,False,28.90277777777778,24.93333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.75987204875806,25.150561151221737,26.69703197592053,23.94151132075472,22.03203856214673,3.3354911637450932,24,55.287560757256884,1.4897641591833002,-0.18163927199665408,1.8942118972929247,20,24,9,0.0,0.0,0.0,0.0,19.790824679683634,16.804248055976462
sac_b100,2026-08-04,67,9,2.25,False,28.77777777777778,24.699999999999996,0.02815935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.721392924777625,25.133446961612194,26.582882226885104,24.05849056603774,15.070431270949026,3.197031975920531,22,49.223081702322716,1.3648846729500046,-0.3370976412601067,1.7969111620447196,20,22,11,0.0,0.0,0.0,0.0,18.147159663139313,15.725123652712815
sac_b100,2026-08-04,67,10,2.5,False,28.77777777777778,24.699999999999996,0.049999925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.69019265567029,25.11582601680938,26.488882133699935,24.05849056603774,14.315677539935617,3.082882226885104,22,49.20323200735554,1.3601318525806505,-0.3682979103674532,1.80198331556742,20,20,13,0.0,0.0,0.0,0.0,13.772194188236945,17.68452180025922
sac_b100,2026-08-04,67,11,2.75,False,28.77777777777778,24.699999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.667876905055067,25.11043918313417,26.40504373700667,24.05849056603774,13.750458292191379,2.988882133699935,20,49.232483590675095,1.3577132427177192,-0.390613660982668,1.8049941765475055,20,20,13,0.0,0.0,0.0,0.0,18.53010847804645,16.25083460727442
