step,episode,return,cost_comfort,cost_vent,fan_kwh,coil_kwh_th,alpha,lam_comfort,lam_vent,date,lam_dr
2016,20,-101.14376260244539,22816.88929714299,24.0,52.270808473604596,190.3233839843806,0.551612138748169,0.27862483975457314,7.212586715126685,2026-05-20 00:00:00,0.3546429435481566
2112,21,0.0,0.0,0.0,0.0,0.0,0.5362982153892517,0.27675773821647737,9.37433889966919,2026-06-28 00:00:00,0.7521927947507213
2208,22,-145.1966069532366,100.47549318829684,0.0,66.21370423110811,310.9675007928564,0.521486759185791,0.2763391549162001,11.912568650067563,2026-07-08 00:00:00,0.5480204245325432
2304,23,-166.24237717988484,81.8117751985954,0.0,65.99667181722718,396.4921952680743,0.5070764422416687,0.27596866432131195,14.913828512096156,2026-05-28 00:00:00,0.08403801035747649
2400,24,-137.1794885697957,38.71694049042498,0.0,62.15727187666286,296.19577275440975,0.49308037757873535,0.2754326727572895,18.52091877587543,2026-06-26 00:00:00,0.835080722022197
2496,25,-124.79970772031153,13605.9753811747,2.0,59.491355985100675,255.12858274687164,0.47951334714889526,0.27397031855278126,22.896264553973268,2026-05-22 00:00:00,0.22921580260727947
2592,26,-143.31491842358537,131.52297457446693,0.0,67.11927642344205,300.78713369722016,0.4663647711277008,0.28558023669837923,28.360222130493362,2026-07-17 00:00:00,0.38880252777883706
2688,27,-156.31405217926934,261.8760294887407,0.0,67.78408564933709,349.37202160131113,0.4535841643810272,0.3001996506260884,35.052194090907676,2026-06-29 00:00:00,0.5376949929361501
2784,28,-162.2061757393617,73.74289969859521,0.0,74.10641990187239,348.5625346355206,0.44130656123161316,0.31726709267664405,42.877923174172885,2026-05-25 00:00:00,0.31376394693961096
2880,29,-150.73749457708607,109.64431993672979,0.0,65.70382338498725,336.03795692887326,0.4293864369392395,0.3371494285842827,52.261129128502496,2026-06-17 00:00:00,0.5678295964143394
2976,30,0.0,0.0,0.0,0.0,0.0,0.417864590883255,0.3604459907456177,63.86204140241284,2026-05-31 00:00:00,0.11633343986020417
3072,31,0.0,0.0,0.0,0.0,0.0,0.40677863359451294,0.38758082789825254,77.68315026032568,2026-07-25 00:00:00,0.5181714013401479
3168,32,-125.85045621277028,59.70920449766186,0.0,60.864625880394385,256.591490345239,0.39585062861442566,0.4194151393899088,94.80958043749753,2026-07-02 00:00:00,0.6787063848027507
3264,33,0.0,0.0,0.0,0.0,0.0,0.3856014311313629,0.4572579238440532,116.11289758333136,2026-06-28 00:00:00,0.9469593326057496
3360,34,-121.66071942441134,468.5919790198208,0.0,53.42527977444686,269.00730399540095,0.3754745125770569,0.5027847892327267,142.61309742212416,2026-06-01 00:00:00,0.7429214897718454
3456,35,-154.7143669841194,233.4990516933903,0.0,63.90308777674871,359.5466550810649,0.3656662106513977,0.5599587738026447,175.58152248846625,2026-07-14 00:00:00,0.7159935507731606
